"champ";"statut";"annee";"periode";"date du resultat";"ipe";cage;COUNT;PERCENT;countm;percentm;countf;percentf;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:13";="020000022";3;1;0.4329004329;1;0.9523809524;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:13";="020000022";4;14;6.0606060606;8;7.619047619;6;4.7619047619;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:13";="020000022";5;63;27.272727273;29;27.619047619;34;26.984126984;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:13";="020000022";6;74;32.034632035;35;33.333333333;39;30.952380952;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:13";="020000022";7;79;34.199134199;32;30.476190476;47;37.301587302;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:19";="590048476";3;10;0.8992805755;7;1.3833992095;3;0.495049505;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:19";="590048476";4;49;4.4064748201;27;5.3359683794;22;3.6303630363;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:19";="590048476";5;144;12.949640288;79;15.612648221;65;10.726072607;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:19";="590048476";6;320;28.776978417;177;34.980237154;143;23.597359736;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:19";="590048476";7;589;52.967625899;216;42.687747036;373;61.551155116;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:08";="590780193";0;76;3.1096563011;44;5.1764705882;32;2.0075282309;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:08";="590780193";1;56;2.2913256956;26;3.0588235294;30;1.8820577164;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:08";="590780193";2;17;0.6955810147;9;1.0588235294;8;0.5018820577;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:08";="590780193";3;126;5.1554828151;52;6.1176470588;74;4.6424090339;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:08";="590780193";4;647;26.47299509;61;7.1764705882;586;36.762860728;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:08";="590780193";5;472;19.312602291;119;14;353;22.145545797;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:08";="590780193";6;667;27.291325696;327;38.470588235;340;21.329987453;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:08";="590780193";7;383;15.671031097;212;24.941176471;171;10.727728984;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:08";="590782652";3;4;0.4872107186;4;1.0204081633;;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:08";="590782652";4;39;4.7503045067;11;2.806122449;28;6.5268065268;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:08";="590782652";5;142;17.295980512;77;19.642857143;65;15.151515152;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:08";="590782652";6;301;36.662606577;180;45.918367347;121;28.205128205;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:08";="590782652";7;335;40.803897686;120;30.612244898;215;50.116550117;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:20";="600100713";1;2;0.5102040816;2;0.9345794393;;;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:20";="600100713";2;2;0.5102040816;;;2;1.1235955056;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:20";="600100713";3;3;0.7653061224;1;0.4672897196;2;1.1235955056;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:20";="600100713";4;20;5.1020408163;14;6.5420560748;6;3.3707865169;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:20";="600100713";5;55;14.030612245;29;13.551401869;26;14.606741573;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:20";="600100713";6;132;33.673469388;87;40.654205607;45;25.280898876;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:20";="600100713";7;178;45.408163265;81;37.85046729;97;54.494382022;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:22:31";="600100721";3;7;2.4734982332;7;3.9548022599;;;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:31";="600100721";4;12;4.2402826855;5;2.8248587571;7;6.6037735849;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:31";="600100721";5;55;19.434628975;41;23.163841808;14;13.20754717;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:31";="600100721";6;101;35.689045936;61;34.463276836;40;37.735849057;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:31";="600100721";7;108;38.16254417;63;35.593220339;45;42.452830189;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:17";="800000028";3;3;1.1627906977;;;3;3.0303030303;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:17";="800000028";4;7;2.7131782946;5;3.1446540881;2;2.0202020202;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:17";="800000028";5;52;20.15503876;38;23.899371069;14;14.141414141;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:17";="800000028";6;92;35.658914729;60;37.735849057;32;32.323232323;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:17";="800000028";7;104;40.310077519;56;35.220125786;48;48.484848485;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:11";="800000036";3;11;6.7484662577;10;15.384615385;1;1.0204081633;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:11";="800000036";4;3;1.8404907975;;;3;3.0612244898;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:11";="800000036";5;16;9.8159509202;6;9.2307692308;10;10.204081633;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:11";="800000036";6;44;26.993865031;26;40;18;18.367346939;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:11";="800000036";7;89;54.601226994;23;35.384615385;66;67.346938776;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:15";="800000069";3;3;1.185770751;2;1.4184397163;1;0.8928571429;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:15";="800000069";4;30;11.85770751;10;7.0921985816;20;17.857142857;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:15";="800000069";5;46;18.181818182;27;19.14893617;19;16.964285714;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:15";="800000069";6;81;32.015810277;53;37.588652482;28;25;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:15";="800000069";7;93;36.758893281;49;34.75177305;44;39.285714286;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:29";="800000077";3;2;2;2;3.4482758621;;;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:29";="800000077";4;6;6;4;6.8965517241;2;4.7619047619;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:29";="800000077";5;11;11;6;10.344827586;5;11.904761905;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:29";="800000077";6;33;33;21;36.206896552;12;28.571428571;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:29";="800000077";7;48;48;25;43.103448276;23;54.761904762;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/28 15:59:21";="800000085";2;6;3.4482758621;;;6;6.3157894737;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:21";="800000085";3;4;2.2988505747;;;4;4.2105263158;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:21";="800000085";4;2;1.1494252874;;;2;2.1052631579;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:21";="800000085";5;44;25.287356322;27;34.17721519;17;17.894736842;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:21";="800000085";6;43;24.712643678;26;32.911392405;17;17.894736842;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:21";="800000085";7;75;43.103448276;26;32.911392405;49;51.578947368;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:51:16";="800000093";3;1;0.4329004329;1;0.8695652174;;;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:16";="800000093";4;12;5.1948051948;5;4.347826087;7;6.0344827586;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:16";="800000093";5;32;13.852813853;20;17.391304348;12;10.344827586;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:16";="800000093";6;74;32.034632035;44;38.260869565;30;25.862068966;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:16";="800000093";7;112;48.484848485;45;39.130434783;67;57.75862069;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:09";="800000523";0;14;1.0115606936;10;1.329787234;4;0.6329113924;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:09";="800000523";1;13;0.9393063584;4;0.5319148936;9;1.4240506329;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:09";="800000523";2;19;1.3728323699;19;2.5265957447;;;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:09";="800000523";3;45;3.2514450867;34;4.5212765957;11;1.7405063291;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:09";="800000523";4;66;4.7687861272;32;4.2553191489;34;5.3797468354;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:09";="800000523";5;205;14.812138728;130;17.287234043;75;11.867088608;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:09";="800000523";6;414;29.913294798;241;32.04787234;173;27.373417722;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:09";="800000523";7;608;43.930635838;282;37.5;326;51.582278481;2022.11;X800000523;22DEC22;10:53:02
