"champ";"statut";"annee";"periode";"date du resultat";"ipe";nb;mnt_br;mnt_tot_am;taux_app;mtm;mnt_fj;mpf;rac;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:53";="800000036";;;;;;;;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:38";="600100168";;;;;;;;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:42";="020000022";;;;;;;;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";;;;;;;;;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:23";="590049565";;;;;;;;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";34;31848.59023;29177.425735;92.227058824;10314.76;614.2;91.72;11020.68;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:38:29";="620003376";4;1978.3387267;1728.0762039;90.16;817.09;30;0.52;847.61;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:07:04";="620101337";9;9288.504994;8500.4415068;90.517777778;3473.49;127.2;29.3;3629.99;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:47:32";="800000077";1;2720.923764;2328.0977912;88.84;999.54;72;0.25;1071.79;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:10:37";="590782645";;;;;;;;;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:56";="600100572";;;;;;;;;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:45:09";="020004495";1;601.169517;529.98196525;88.79;214.15;0;0.06;214.21;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:25:04";="020000055";;;;;;;;;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:29:45";="590782652";1;378.558687;340.06985158;90.49;214.47;0;0.09;214.56;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:49:16";="590780052";;;;;;;;;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:20:19";="600100648";;;;;;;;;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:06:01";="620000026";;;;;;;;;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:23:44";="590065223";;;;;;;;;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 14:22:00";="620003350";;;;;;;;;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:50";="590000600";1;4252.768923;3862.8350688;93.85;1310.07;99.4;1.05;1410.52;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:25:33";="620025346";;;;;;;;;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:41:03";="590001749";;;;;;;;;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:47:11";="590781670";;;;;;;;;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:52:08";="020000261";2;7299.279819;6996.523936;99.5;1706.86;194;21.42;1922.28;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:14:47";="620100651";48;37802.610281;34154.654124;91.058333333;12576.3;574.2;87.25;13237.75;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:41:06";="620027839";;;;;;;;;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/30 08:36:32";="590780284";5;5696.1839221;5437.2494263;94.108;1196.03;38.4;33.67;1268.1;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:43:34";="020000287";;;;;;;;;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:34:00";="590797353";5;2003.7669275;1718.4918779;90.538;1027.07;84.2;0.54;1111.81;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:30:41";="590782421";7;8142.289763;7086.0556177;90.022857143;2921.31;157.2;18.44;3096.95;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:12:37";="800000051";;;;;;;;;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:42:48";="800000135";;;;;;;;;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 14:12:13";="590782165";7;6878.433055;6198.4842039;90.515714286;2398.73;87.6;15.27;2501.6;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:40:16";="620101360";34;32653.339515;29953.077463;91.998529412;10859.49;629.4;106.8;11595.69;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:56:43";="590781662";2;982.937873;846.48967738;88.475;477.55;18;0.74;496.29;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:05:34";="590781621";25;11340.459085;10423.916106;92.6348;3617.98;14.4;0.17;3632.55;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:20:10";="590052056";1;1346.4403094;1294.5586831;97.74;239.42;0;12.24;251.66;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 16:35:35";="590781795";;;;;;;;;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:35";="620100677";2;4183.770591;3691.4480698;91.625;1466.14;74.2;0.35;1540.69;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 10:38:44";="590781415";17;20524.730951;18856.173052;93.678235294;7014.3;550;29.93;7594.23;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:39:47";="620103440";18;34677.113948;32455.324286;94.582777778;9649.23;799.4;32.31;10480.94;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 11:14:33";="800000085";;;;;;;;;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";711;2011976.9136;1867493.2947;95.450295359;470976.71;65678;1428.37;538083.08;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 12:26:21";="020004404";4;3902.737861;3768.5834737;98.4275;836.12;0;30.88;867;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 14:26:35";="590781605";16;15411.175797;13560.524159;91.2525;5482.74;559.4;52.24;6094.38;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:29:46";="590781811";1;8013.959811;6913.5044967;89.41;2734.98;201.6;0.02;2936.6;2023.7;X590781811;31AUG23;14:28:53
"mco";"dgf";"2023";"7";"2023/08/31 14:34:32";="800000093";1;380.262597;311.11497501;86.32;202.14;14.8;0.03;216.97;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:54:02";="600100713";94;93018.48004;89270.919645;97.285531915;21530.16;1209;144.04;22883.2;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 15:00:14";="020000048";;;;;;;;;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 15:44:27";="590782215";65;92106.157604;84186.993909;92.017846154;21808.15;1365.6;287.08;23460.83;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 16:59:59";="620100685";43;47382.759566;43695.039236;93.088372093;13472.55;669;183.89;14325.44;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 18:54:27";="800000069";1;432.171714;362.45165173;88.97;195.62;19.2;0.16;214.98;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/09/01 08:07:19";="020000071";;;;;;;;;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 09:19:41";="600100721";1;2301.137595;2074.7973154;93.87;900.36;70;0.16;970.52;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 12:16:37";="620100057";39;73898.786776;68231.276388;92.853333333;20091.16;1063.6;205.87;21360.63;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:23:15";="600101984";27;35090.268876;33322.467327;96.91;7525.86;321.6;242.28;8089.74;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 13:08:45";="800000028";2;4292.840877;3850.2664251;93.745;1236.99;82;20.18;1339.17;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 14:03:42";="590783239";45;51227.833257;46063.576978;91.356222222;17484.14;1082.4;166.88;18733.42;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 16:13:40";="590785374";3;4436.3773633;3850.6178824;89.31;1723.23;91.6;3.6;1818.43;2023.7;X590785374;01SEP23;16:12:38
"mco";"dgf";"2023";"7";"2023/09/01 16:56:55";="020000063";8;15431.901927;14343.057192;95.28125;3161.18;262.4;86.57;3510.15;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 18:28:04";="590000188";92;40297.408287;40010.026429;100;0;0;5.3;5.3;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/04 15:55:13";="620103432";4;9518.355039;8947.2211692;92.6875;3199.35;63.6;20.54;3283.49;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/05 09:24:37";="590782637";6;12705.65595;12094.944534;90.111666667;4531.82;282.8;0.18;4814.8;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 12:10:39";="590781803";40;72699.262432;66831.138942;92.805;19663.59;1089.8;224.2;20977.59;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 17:41:49";="590780227";1;560.556321;506.17131901;93.5;212.49;14.2;0.08;226.77;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:46:15";="800000044";44;87054.927964;81613.367639;91.708181818;16999.49;1397;197.32;18593.81;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/07 20:02:00";="590781902";6;11389.33536;10122.645805;89.648333333;3257.77;188.4;20.2;3466.37;2023.7;X590781902;07SEP23;20:00:41
